spanish_frequency_5000
,,,
rank,word,pos,definition
1,"el, la",art,"the ( + m, f)"
2,de,prep,"of, from"
3,que,conj,"that, which"
4,y,conj,and
5,en,prep,"in, on"
6,un,art,"a, an"
7,ser,v,to be (norm)
8,a,prep,"to, at"
9,él,pron,"he, [ellos] them (m)"
10,lo,art,the ( + neut)
11,no,adv,no
12,su,adj,his/her/their/your (–fam)
13,haber,v,to have ( + Ved)
14,con,prep,with
15,por,prep,"by, for, through"
16,para,prep,"for, to, in order to"
17,mí,pron,me (obj prep )
18,lo,pron,[3rd person] (dir obj-m)
19,tener,v,to have
20,como,conj,"like, as"
21,estar,v,"to be (location, change from norm)"
22,me,pron,me (obj)
23,más,adj,more
24,este,adj,this (m) [esta (f)]
25,le,pron,[3rd person] (indir obj)
26,hacer,v,"to do, make"
27,se,pron,[“reflexive” marker]
28,yo,pron,I (subj)
29,o,conj,or
30,pero,conj,"but, yet, except"
31,decir,v,"to tell, say"
32,poder,v,"to be able to, can"
33,ir,v,to go
34,ese,adj,that (m) [esa (f)]
35,otro,adj,"other, another"
36,si,conj,"if, whether"
37,mi,adj,my
38,ver,v,to see
39,ya,adv,"already, still"
40,porque,conj,because
41,mucho,adj,"much, many, a lot (ADV)"
42,dar,v,to give
43,muy,adv,"very, really"
44,saber,v,"to know (a fact), find out"
45,sí,adv,yes
46,año,nm,year
47,ti,pron,you (obj prep-sg/ + fam)
48,te,pron,you (obj/ + fam)
49,también,adv,also
50,qué,pron,"what?, which?, how ( + ADJ)!"
51,alguno,adj,"some, a few"
52,nos,pron,us (obj)
53,tu,adj,your ( + fam)
54,sin,prep,without
55,mismo,adj,same
56,eso,pron,that (n)
57,cuando,adv,when
58,querer,v,"to want, love"
59,vez,nf,time (specific occurrence); en v. de: instead of
60,hasta,prep,"until, up to, even (ADV)"
61,la,pron,[3rd person] (dir obj-f)
62,sobre,prep,"on top of, over, about"
63,entre,prep,"between, among"
64,dos,num,two
65,día,nm,day
66,grande,adj,"large, great, big"
67,así,adv,like that
68,pasar,v,"to pass, spend (time)"
69,cosa,nf,thing
70,desde,prep,"from, since"
71,deber,v,"should, ought to; to owe"
72,ella,pron,"she, [ellas] them (f)"
73,pues,conj,"then, well then"
74,entonces,adv,"so, then"
75,llegar,v,to arrive
76,poco,adj,"little, few, a little bit (adv)"
77,nuestro,adj,our
78,bien,adv,well
79,ni,conj,"not even, neither, nor"
80,tiempo,nm,time (general)
81,ahora,adv,now
82,primero,adj,first
83,creer,v,"to believe, think"
84,donde,adv,where
85,vida,nf,life
86,dejar,v,"to let, leave"
87,nada,pron,"nothing, (not) at all"
88,tanto,adj,"so much, so many"
89,parecer,v,"to seem, look like"
90,hablar,v,"to speak, talk"
91,poner,v,"to put (on), get ( + ADJ)"
92,parte,nf,"part, portion"
93,eh,interj,eh
94,nuevo,adj,new
95,sólo,adv,"only, just"
96,siempre,adv,"always, forever"
97,hombre,nm,"man, mankind, husband"
98,bueno,adv,well . . .
